Imagem,Qualidade_Total,Tamanho_Tabuleiro,Qualidade_Esquerda,Qualidade_Direita
img_01.png,1139.305,8x5,1139,1192
img_02.png,1125.2334,8x5,1125,1169
img_03.png,1288.8418,8x5,1289,1315
img_04.png,1292.186,8x5,1294,1292
img_05.png,1291.0404,8x5,1294,1291
img_06.png,1135.3767,8x5,1147,1135
img_07.png,1125.3577,8x5,1131,1125
img_08.png,1102.2289,8x5,1115,1102
img_09.png,1293.9893,8x5,1294,1301
img_10.png,1239.0161,8x5,1239,1255
img_11.png,1243.2751,8x5,1243,1271
img_12.png,1278.0945,8x5,1278,1309
img_13.png,1294.6995,8x5,1295,1358
img_14.png,1259.8909,8x5,1260,1300
img_15.png,1221.199,8x5,1225,1221
img_16.png,1187.8601,8x5,1188,1204
img_17.png,1294.5562,8x5,1295,1405
img_18.png,1275.1632,8x5,1275,1365
img_19.png,1297.9673,8x5,1298,1364
img_20.png,1231.958,8x5,1232,1318
img_21.png,1253.8893,8x5,1254,1314
img_22.png,1289.6996,8x5,1290,1348
img_23.png,1360.3864,8x5,1360,1378
img_24.png,1231.4153,8x5,1231,1233
img_25.png,1246.463,8x5,1262,1246
img_26.png,1180.1497,8x5,1180,1240
img_27.png,1279.9587,8x5,1280,1311
img_28.png,1210.0884,8x5,1210,1216
img_29.png,1186.1688,8x5,1186,1199
img_30.png,1144.2904,8x5,1144,1173
img_31.png,1222.4708,8x5,1222,1233
img_32.png,1202.8567,8x5,1203,1203
img_33.png,1139.9082,8x5,1140,1170
img_34.png,1215.9077,8x5,1216,1239
img_35.png,1245.427,8x5,1245,1267
img_36.png,1185.2644,8x5,1185,1237
img_37.png,1129.5088,8x5,1155,1130
img_38.png,1221.9575,8x5,1243,1222
img_39.png,1121.1498,8x5,1121,1177
img_40.png,1132.7849,8x5,1133,1136
img_41.png,1102.081,8x5,1102,1116
img_42.png,1100.0393,8x5,1100,1113
img_43.png,1111.2427,8x5,1111,1200
img_44.png,1124.5813,8x5,1125,1220
img_45.png,1168.6099,8x5,1169,1212
img_46.png,1213.4753,8x5,1213,1220
img_47.png,1315.2495,8x5,1315,1350
img_48.png,1327.59,8x5,1328,1349
img_49.png,1207.6638,8x5,1208,1268
img_50.png,1177.2112,8x5,1177,1281
